name,web_pages,domains,country,state-province
Thakur College of Engineering and Technology,['https://www.tcetmumbai.in/'],['tcetmumbai.in'],India,Mahārāshtra
Atharva College of Engineering,['https://atharvacoe.ac.in/'],['atharvacoe.ac.in'],India,Mumbai
Bhagwan Parshuram Institute of Technology,['http://bpitindia.ac.in/'],"['bpitindia.edu.in', 'bpitindia.in']",India,Delhi
University of Petroleum and Energy Studies,['https://www.upes.ac.in/'],['upes.ac.in'],India,Dehradun
Ashoka University,['https://www.ashoka.edu.in/'],['ashoka.edu.in'],India,Haryana
Indian Institute of Information Technology Sri City,['https://www.iiits.ac.in/'],['iiits.in'],India,Chittoor
DAV Institute of Engineering & Technology,['http://www.davietjal.org/'],['davietjal.org'],India,Punjab
Lovely Professional University,['http://www.lpu.in/'],['lpu.in'],India,Punjab
Somaiya Vidyavihar,['https://somaiya.edu/'],['somaiya.edu'],India,
NorthCap University,['http://www.ncuindia.edu/'],['ncuindia.edu'],India,Haryana
Dharamsinh Desai University,['http://www.ddu.ac.in/'],['ddu.ac.in'],India,Gujarat
University of Health Sciences Andhra Pradesh,['http://ntruhs.ap.nic.in/'],['ntruhs.ap.nic.in'],India,Andhra Pradesh
"Allahabad Agricultural Institute, Deemed University",['http://www.aaidu.org/'],['aaidu.org'],India,
Assam Agricultural University,['http://www.aau.ac.in/'],['aau.ac.in'],India,Assam
Ahmedabad University,['http://www.ahduni.edu.in/'],['ahduni.edu.in'],India,Gujarat
All India Institute of Medical Sciences,['http://www.aiims.ac.in/'],['aiims.ac.in'],India,
AISECT University,['http://www.aisectuniversity.ac.in/'],['aisectuniversity.ac.in'],India,
Alagappa University,['http://www.alagappauniversity.ac.in/'],['alagappauniversity.ac.in'],India,Tamil Nadu
Allahabad University,['http://www.alldunivpio.org/'],['alldunivpio.org'],India,Uttar Pradesh
Open International University for Alternative Medicines,['http://www.altmeduniversity.com/'],['altmeduniversity.com'],India,
Indian Board of Alternative Medicine,['http://www.altmedworld.net/'],['altmedworld.net'],India,West Bengal
Amity University,['http://www.amity.edu/'],['amity.edu'],India,Uttar Pradesh
Amrita Vishwa Vidyapeetham,['http://www.amrita.edu/'],['amrita.edu'],India,Tamil Nadu
Amravati University,['http://www.amtuni.com/'],['amtuni.com'],India,
Aligarh Muslim University,['http://www.amu.ac.in/'],['amu.ac.in'],India,Uttar Pradesh
Andhra University,['http://www.andhrauniversity.info/'],['andhrauniversity.info'],India,Andhra Pradesh
Acharya Ranga Agricultural University,['http://www.angrau.net/'],['angrau.net'],India,
Annamalai University,['http://www.annamalaiuniversity.ac.in/'],['annamalaiuniversity.ac.in'],India,Tamil Nadu
"Anna University of Technology, Tirunelveli",['http://www.annauniv.edu.in/'],['annauniv.edu.in'],India,Tamil Nadu
Anna University,['http://www.annauniv.edu/'],['annauniv.edu'],India,Tamil Nadu
Awadhesh Pratap Singh University,['http://www.apsurewa.nic.in/'],['apsurewa.nic.in'],India,Madhya Pradesh
ARYA Institute of Engineering & Technology,['http://www.aryainstitutejpr.com/'],['aryainstitutejpr.com'],India,Rajasthan
Assam University,['http://www.assamuniversity.nic.in/'],['assamuniversity.nic.in'],India,Assam
Gujarat Ayurved University,['http://www.ayurveduniversity.com/'],['ayurveduniversity.com'],India,Gujarat
Dr. Babasaheb Ambedkar Marathwada Universtiy,['http://www.bamu.net/'],['bamu.net'],India,
Berhampur University,['http://www.bamu.nic.in/'],['bamu.nic.in'],India,
Banasthali University,['http://www.banasthali.org/'],['banasthali.org'],India,
Bankura University,['http://www.bankurauniv.com/'],['bankurauniv.com'],India,
Birsa Agricultural University,['http://www.bau.nic.in/'],['bau.nic.in'],India,
Babasaheb Bhimrao Ambedkar University,['http://www.bbauindia.org/'],['bbauindia.org'],India,
Bidhan Chandra Agricultural University,['http://www.bckv.edu.in/'],['bckv.edu.in'],India,
Bharathidasan University,['http://www.bdu.ernet.in/'],['bdu.ernet.in'],India,
Bengal Engineering College,['http://www.becs.ac.in/'],['becs.ac.in'],India,West Bengal
Bangalore University,['http://bengaluruuniversity.com/'],['bengaluruuniversity.com'],India,Karnataka
Bhagwant University,['http://www.bhagwantuniversity.com/'],['bhagwantuniversity.com'],India,
Bharathiar University,['http://www.bharathi.ernet.in/'],['bharathi.ernet.in'],India,Tamil Nadu
Bharath Institue Of Higher Education & Research,['http://www.bharathuniv.com/'],['bharathuniv.com'],India,Tamil Nadu
Bharati Vidyapeeth University,['http://www.bharatividyapeeth.edu/'],['bharatividyapeeth.edu'],India,
Bhavnagar University,['http://www.bhavuni.edu/'],['bhavuni.edu'],India,
Banaras Hindu University,['http://www.bhu.ac.in/'],['bhu.ac.in'],India,Uttar Pradesh
Orissa University of Agriculture and Technology,['https://ouat.ac.in/'],['ouat.ac.in'],India,Odisha
"Birla Institute of Technology, Ranchi",['http://bitmesraranchi.org/'],['bitmesraranchi.org'],India,Jharkhand
Birla Institute of Technology and Science,['http://www.bits-pilani.ac.in/'],['bits-pilani.ac.in'],India,Rajasthan
Bhupendra Narayan Mandal University,['http://www.bnmu.in/'],['bnmu.in'],India,
Biju Pattnaik University of Technology,['http://www.bput.org/'],['bput.org'],India,
B. R. Ambedkar Bihar University,['http://www.brabu.net/'],['brabu.net'],India,Bihar
Dr. B.R. Ambedkar Open University,['http://www.braou.ac.in/'],['braou.ac.in'],India,
Dr. B. R. Ambedkar National Institute of Technology Jalandhar,['http://www.nitj.ac.in/'],['nitj.ac.in'],India,
Dr. Bhim Rao Abdekar University,['http://www.brauagra.com/'],['brauagra.com'],India,
B. S. Abdur Rahman University,['http://www.bsauniv.ac.in/'],['bsauniv.ac.in'],India,
Barkatullah University,['http://www.bubhopal.nic.in/'],['bubhopal.nic.in'],India,
VIT Bhopal,['https://vitbhopal.ac.in/'],['vitbhopal.ac.in'],India,Madhya Pradesh
Bundelkhand University,['http://www.bundelkhanduniversity.org/'],['bundelkhanduniversity.org'],India,
