Name,Language,Genres,Rating,Premiered,Status
Under the Dome,English,"Drama, Science-Fiction, Thriller",6.6,2013-06-24,Ended
Person of Interest,English,"Action, Crime, Science-Fiction",8.8,2011-09-22,Ended
Bitten,English,"Drama, Horror, Romance",7.4,2014-01-11,Ended
Arrow,English,"Drama, Action, Science-Fiction",7.4,2012-10-10,Ended
True Detective,English,"Drama, Crime, Thriller",8.1,2014-01-12,Running
The 100,English,"Action, Adventure, Science-Fiction",7.7,2014-03-19,Ended
Homeland,English,"Drama, Thriller, Espionage",8.2,2011-10-02,Ended
Glee,English,"Drama, Music, Romance",6.7,2009-05-19,Ended
Revenge,English,"Drama, Thriller, Mystery",7.8,2011-09-21,Ended
Grimm,English,"Drama, Crime, Supernatural",8.4,2011-10-28,Ended
Gotham,English,"Drama, Action, Crime",7.7,2014-09-22,Ended
Lost Girl,English,"Drama, Fantasy, Horror",7.9,2010-09-12,Ended
The Flash,English,"Drama, Action, Science-Fiction",7.5,2014-10-07,Ended
Continuum,English,"Drama, Crime, Science-Fiction",8.0,2012-05-27,Ended
Constantine,English,"Drama, Action, Horror",7.5,2014-10-24,Ended
Penny Dreadful,English,"Horror, Thriller, Supernatural",8.2,2014-05-11,Ended
The Amazing Race,English,"Action, Adventure, Family",6.8,2001-09-05,Running
Supernatural,English,"Drama, Action, Supernatural",8.3,2005-09-13,Ended
The Strain,English,"Drama, Horror, Thriller",7.5,2014-07-13,Ended
The Last Ship,English,"Drama, Action, Thriller",7.5,2014-06-22,Ended
True Blood,English,"Drama, Romance, Supernatural",7.9,2008-09-07,Ended
Once Upon a Time in Wonderland,English,"Drama, Adventure, Fantasy",6.9,2013-10-10,Ended
Hawaii Five-0,English,"Drama, Action, Crime",7.7,2010-09-20,Ended
Hellsing,Japanese,"Anime, Horror, Supernatural",7.3,2001-10-10,Ended
Hellsing Ultimate,Japanese,"Drama, Action, Anime, Horror",7.3,2006-02-10,Ended
Berserk,Japanese,"Anime, Fantasy, Horror",8.0,1997-10-07,Ended
Californication,English,"Drama, Comedy",7.9,2007-08-13,Ended
Vikings,English,"Drama, Action, History",8.6,2013-03-03,Ended
American Horror Story,English,"Drama, Horror, Thriller",7.5,2011-10-05,Running
Marvel's Agents of S.H.I.E.L.D.,English,"Action, Adventure, Science-Fiction",8.0,2013-09-24,Ended
Fargo,English,"Drama, Comedy, Crime",8.6,2014-04-15,To Be Determined
Hemlock Grove,English,"Drama, Horror, Thriller",6.9,2013-04-19,Ended
Helix,English,"Horror, Science-Fiction, Thriller",6.5,2014-01-10,Ended
The Killing,English,"Drama, Crime, Thriller",8.2,2011-04-03,Ended
Intruders,English,"Drama, Fantasy, Thriller",7.1,2014-08-23,Ended
Z Nation,English,"Action, Horror, Science-Fiction",7.2,2014-09-12,Ended
Resurrection,English,"Drama, Science-Fiction, Mystery",7.1,2014-03-09,Ended
Death Note,Japanese,"Anime, Fantasy, Thriller",8.8,2006-10-03,Ended
Last Man Standing,English,"Comedy, Family",7.8,2011-10-11,Ended
Sleepy Hollow,English,"Drama, Mystery, Supernatural",7.5,2013-09-16,Ended
Outlander,English,"Adventure, Romance, Science-Fiction",7.9,2014-08-09,Ended
Scorpion,English,"Drama, Action, Thriller",7.3,2014-09-22,Ended
NCIS: New Orleans,English,"Drama, Crime",7.5,2014-09-23,Ended
Forever,English,"Drama, Crime, Supernatural",8.1,2014-09-22,Ended
Witches of East End,English,"Drama, Fantasy, Romance",7.5,2013-10-06,Ended
Madam Secretary,English,Drama,7.7,2014-09-21,Ended
Brooklyn Nine-Nine,English,"Comedy, Action, Crime",8.1,2013-09-17,Ended
The Lottery,English,"Drama, Science-Fiction, Thriller",6.5,2014-07-20,Ended
The Knick,English,"Drama, Medical",8.3,2014-08-08,Ended
How to Get Away with Murder,English,"Drama, Thriller, Legal",7.6,2014-09-25,Ended
Nashville,English,"Drama, Music, Romance",7.4,2012-10-10,Ended
Legends,English,"Drama, Crime, Thriller",7.5,2014-08-13,Ended
Red Band Society,English,"Drama, Comedy",7.7,2014-09-17,Ended
Chicago P.D.,English,"Drama, Crime",8.0,2014-01-08,Running
black-ish,English,"Comedy, Family",6.2,2014-09-24,Ended
New Girl,English,"Comedy, Romance",7.3,2011-09-20,Ended
Chicago Fire,English,"Drama, Action",8.0,2012-10-10,Running
NCIS,English,"Drama, Action, Crime",7.9,2003-09-23,Running
Orphan Black,English,"Drama, Science-Fiction, Thriller",8.6,2013-03-30,Ended
The Originals,English,"Drama, Romance, Supernatural",8.2,2013-10-03,Ended
The Vampire Diaries,English,"Drama, Romance, Supernatural",7.9,2009-09-10,Ended
Utopia,English,"Drama, Science-Fiction, Thriller",8.4,2013-01-15,Ended
