0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
RYSAX,Rydex Electronics H,964.06+38.30(+4.14%),+38.30,+4.14%,831.86,605.43,+75.47%,+85.66%,+132.78%,397.69986.38
RYELX,Rydex Electronics A,996.79+39.60(+4.14%),+39.60,+4.14%,860.11,625.77,+75.47%,+85.66%,+133.06%,"410.701,019.87"
RYSIX,Rydex Electronics Inv,"1,107.83+44.01(+4.14%)",+44.01,+4.14%,955.69,694.19,+75.58%,+85.89%,+134.46%,"453.731,133.42"
RYSCX,Rydex Electronics C,821.12+32.60(+4.13%),+32.60,+4.13%,709.04,517.92,+75.14%,+84.99%,+129.64%,343.37840.27
KSCYX,Kinetics Small Cap Opportunities Inst,197.78+7.85(+4.13%),+7.85,+4.13%,192.96,184.96,-9.32%,+24.73%,+11.61%,155.27228.81
KSCOX,Kinetics Small Cap Opportunities No Load,192.75+7.64(+4.13%),+7.64,+4.13%,188.10,180.24,-9.37%,+24.60%,+11.66%,151.11223.14
KSOAX,Kinetics Small Cap Opportunities Adv A,184.21+7.30(+4.13%),+7.30,+4.13%,179.80,172.32,-9.42%,+24.46%,+11.59%,144.35213.42
KSOCX,Kinetics Small Cap Opportunities Adv C,171.04+6.77(+4.12%),+6.77,+4.12%,167.04,160.31,-9.54%,+24.15%,+11.03%,134.39198.48
LSHUX,Kinetics Spin-Off and Corp Rest Instl,33.85+1.31(+4.03%),+1.31,+4.03%,31.41,30.40,-14.26%,+38.70%,+4.13%,23.1339.68
LSHCX,Kinetics Spin-Off and Corp Rest Adv C,29.32+1.13(+4.01%),+1.13,+4.01%,27.24,26.57,-14.47%,+38.05%,+1.59%,20.1334.48
LSHEX,Kinetics Spin-Off and Corp Rest No Load,35.63+1.37(+4.00%),+1.37,+4.00%,33.04,31.93,-14.16%,+38.82%,+4.61%,24.3441.74
LSHAX,Kinetics Spin-Off and Corp Rest Adv A,33.44+1.28(+3.98%),+1.28,+3.98%,31.04,30.08,-14.29%,+38.62%,+3.81%,22.8839.24
WWNPX,Kinetics Paradigm No Load,136.57+4.66(+3.53%),+4.66,+3.53%,131.79,130.47,-14.55%,+24.68%,-2.52%,105.39163.30
KNPAX,Kinetics Paradigm Adv A,128.46+4.38(+3.53%),+4.38,+3.53%,124.02,123.07,-14.63%,+24.50%,-3.22%,99.27153.75
KNPYX,Kinetics Paradigm Instl,139.07+4.74(+3.53%),+4.74,+3.53%,134.20,132.72,-14.53%,+24.77%,-2.22%,107.24166.22
KNPCX,Kinetics Paradigm Adv C,111.97+3.81(+3.52%),+3.81,+3.52%,108.15,107.92,-14.73%,+24.21%,-4.79%,86.73134.23
NESIX,Needham Small Cap Growth Institutional,41.00+1.38(+3.48%),+1.38,+3.48%,35.83,26.60,+57.60%,+80.83%,+105.28%,18.9440.45
NESGX,Needham Small Cap Growth Retail,38.08+1.28(+3.48%),+1.28,+3.48%,33.30,24.76,+57.33%,+80.30%,+104.10%,17.6937.58
FIKGX,Fidelity Advisor Semiconductors Z,220.99+7.39(+3.46%),+7.39,+3.46%,199.36,148.15,+66.51%,+74.52%,+116.52%,98.65231.06
FELIX,Fidelity Advisor Semiconductors I,220.24+7.36(+3.46%),+7.36,+3.46%,198.71,147.64,+66.46%,+74.43%,+116.61%,98.28230.29
FELAX,Fidelity Advisor Semiconductors A,200.63+6.70(+3.45%),+6.70,+3.45%,181.06,134.79,+66.36%,+74.23%,+115.17%,90.13209.79
FELCX,Fidelity Advisor Semiconductors C,153.19+5.11(+3.45%),+5.11,+3.45%,138.35,103.61,+66.05%,+73.58%,+110.88%,70.22160.21
FELTX,Fidelity Advisor Semiconductors M,184.70+6.16(+3.45%),+6.16,+3.45%,166.73,124.34,+66.25%,+74.00%,+113.87%,83.48193.15
FSELX,Fidelity Select Semiconductors,71.42+2.37(+3.43%),+2.37,+3.43%,64.55,50.44,+66.65%,+74.09%,+98.02%,34.8774.81
ZVGIX,Zevenbergen Genea Institutional,62.76+2.07(+3.41%),+2.07,+3.41%,57.98,57.40,+31.39%,+3.66%,+7.82%,45.2866.60
,,,,,,,,,,
